feature,rf_importance,et_importance,xgb_importance,mean_importance
IL_fp_1426,0.0006733798913230403,0.0013264853746418406,0.000746328,0.000915397747398471
IL_fp_1440,0.0010791732458858656,0.0012162983681234811,0.00042158304,0.000905684885108415
IL_fp_994,0.0009671159809496786,0.0011592097230044792,0.00058918155,0.0009051690855317506
IL_fp_2005,0.0007659241710382725,0.0005469910237781363,0.0013791006,0.00089733860022062
IL_fp_524,0.00019810057621230906,0.0015534644541263163,0.00093958696,0.0008970506622860863
IL_fp_1424,0.0004124381317521831,0.0009526686943751258,0.0013181448,0.0008944172236574154
IL_fp_1587,0.0013439720499315892,0.0006669680851203388,0.00066557,0.0008921700540822818
IL_fp_1170,0.0001572650703176229,1.2614078493483038e-05,0.0024963645,0.0008887478917539133
IL_fp_619,0.0008134157727192288,0.0010352768976018502,0.00078985165,0.0008795147730180329
IL_fp_357,0.0005164023762418656,0.0009154638764129539,0.0012008179,0.0008775613757625317
IL_fp_692,0.0008675633613733502,0.001435879272783939,0.0003246382,0.0008760269484418794
IL_fp_1794,0.0005027321512340196,0.0015478267769818638,0.0005775017,0.0008760202160111343
IL_fp_498,0.00033402529400183134,0.0016624478231290392,0.00061496283,0.0008704786495786987
IL_fp_730,0.0003709658683638407,0.00020495634203134916,0.0020308564,0.000868926217367203
IL_fp_1916,0.0012992349746379277,0.0009691576633399096,0.00033414672,0.0008675131205315685
IL_fp_1008,0.0008374693270005762,0.0013261805708197074,0.00043078157,0.0008648104888955022
IL_fp_1672,0.00033296587092328044,0.00016381907263804242,0.0020966073,0.0008644640977914358
IL_fp_28,0.001481605061121982,0.0007879273692443269,0.00031381435,0.000861115593822882
IL_fp_674,0.0008913101744352939,0.0008838098960364239,0.0007878787,0.0008543329235126918
IL_fp_1341,0.0002143376577452105,0.0004726752958703382,0.0018589747,0.0008486625480548748
IL_fp_1728,0.0004683226019142782,3.6077441411912664e-05,0.0020278187,0.0008440729145416194
IL_fp_392,0.0011594972894679134,0.001091797859723812,0.00026593576,0.0008390769684083373
IL_fp_114,0.0009456117030904565,0.0013600780673915143,0.00020888493,0.0008381915664022331
IL_fp_188,0.0006682347971344251,0.0006151595072323129,0.0012246018,0.0008359986873598
IL_fp_1573,0.0003710420123395712,0.0009020872854053113,0.001222066,0.0008317317656391702
IL_fp_1860,0.0010105409101645796,0.0010424569660333854,0.00042690703,0.0008266349701077147
IL_fp_288,0.0013829959201162644,0.0006492873465226773,0.0004456088,0.0008259640243232174
IL_fp_1256,7.838276859363639e-05,2.828317054891808e-06,0.0023942234,0.0008251448128475717
IL_fp_487,0.0005579064638828995,0.0001563836972108612,0.0017596392,0.0008246431345859135
IL_fp_1448,0.0010161027649759926,0.000679284320036254,0.0007682499,0.0008212123325551216
IL_fp_1766,7.737624789997031e-05,2.0370832213681285e-05,0.0023573039,0.0008183503145016438
IL_fp_2025,0.0008600220664238477,0.00047729183750273326,0.0011145648,0.0008172929117650687
IL_fp_1380,0.00116850563431262,0.0005409530860264908,0.00073965365,0.000816370791112887
IL_fp_1040,0.0011843186121093313,0.0007748170432668848,0.0004888008,0.0008159788223191765
IL_fp_2,0.0013923515858125432,0.0009141679646311615,0.00014079314,0.0008157708972568573
IL_fp_749,0.0007286106628028262,0.00019856983294850631,0.0015170926,0.0008147576906672554
IL_fp_1558,0.0003619204095120602,0.00032172152835163097,0.0017563556,0.0008133325233200734
IL_fp_855,0.00011162794517609885,0.0001609159601346826,0.002165134,0.0008125593233879909
IL_fp_1727,0.000891492776430956,0.00125109203587181,0.0002856195,0.0008094014345937315
IL_fp_1085,0.0004996799063254242,0.0011013350497088201,0.0008140877,0.0008050342149857089
IL_fp_1730,0.00015936179137846385,0.00011116712220598028,0.0021385094,0.0008030127762248427
IL_fp_1227,0.0008364991766407245,0.0008294416899332447,0.0007363853,0.000800775386471076
IL_fp_1023,0.00010940386445980991,5.383138971028696e-06,0.0022767799,0.0007971889514585719
IL_fp_1985,4.256202839458048e-05,0.00011705265815077887,0.0022292968,0.0007963038405615844
IL_fp_292,0.000633552216043822,9.413591913736633e-05,0.0016493042,0.000792330770620644
IL_fp_1269,0.0011223176566917078,0.0006228374401198967,0.00063181645,0.0007923238497268996
IL_fp_1840,0.000915319235626874,0.0010770043455832698,0.0003702957,0.0007875397568061922
IL_fp_653,0.0010937213220701266,0.000719078307366377,0.000547976,0.0007869252098903295
Cargo_type__FVII,0.0005109415391888813,0.0008858974868922813,0.00096001435,0.0007856177930405895
IL_fp_374,0.0005686123410230517,0.0016224745066215822,0.00015362464,0.0007815704964900263
IL_fp_1859,0.0006626307054041107,0.00018080947365980589,0.0015004472,0.0007812957811178566
